questionnaire,item,value,agreement,question
NFCC1993,"When I go shopping, I have difficulty deciding exactly what it is that I want.",Decisiveness,-1,Should I have difficulty deciding exactly what I want when I go shopping?
NFCC2000,I tend to struggle with most decisions.,Decisiveness,-1,Should I struggle with most decisions?
NFCC2000,"When I am confused about an important issue, I feel very upset.",Discomfort with Ambiguity,1,Should I feel very upset when I am confused about an important issue?
NFCC2000,I feel uncomfortable when someone's meaning or intentions are unclear to me.,Discomfort with Ambiguity,1,Should I feel uncomfortable when someone's meaning or intentions are unclear to me?
NFCC2000,"When thinking about a problem, I consider as many different opinions on the issue as possible.",Closed-Mindedness,-1,Should I consider as many different opinions on the issue as possible when thinking about a problem?
NFCC1993,"Even after I've made up my mind about something, I am always eager to consider a different opinion.",Closed-Mindedness,-1,Should I always be eager to consider a different opinion even after I've made up my mind about something?
NFCC1993,I prefer interacting with people whose opinions are very different from my own.,Closed-Mindedness,-1,Should I prefer interacting with people whose opinions are very different from my own?
NFCC2000,I always see many possible solutions to problems I face.,Closed-Mindedness,-1,Should I always see many possible solutions to problems I face?
NFCC1993,I do not usually consult many different opinions before forming my own view.,Closed-Mindedness,1,Should I not usually consult many different opinions before forming my own view?
NFCC1993,"When thinking about a problem, I consider as many different opinions on the issue as possible.",Closed-Mindedness,-1,Should I consider as many different opinions on the issue as possible when thinking about a problem?
NFCC2000,"Even after I have made up my mind about something, I am always eager to consider a different opinion.",Closed-Mindedness,-1,Should I always be eager to consider a different opinion even after I have made up my mind about something?
NFCC1993,"When considering most conflict situations, 1 can usually see how both sides could be right.",Closed-Mindedness,-1,Should I usually see how both sides could be right in most conflict situations?
NFCC1993,I feel uncomfortable when I don't understand the reason why an event occurred in my life.,Discomfort With Ambiguity,1,Should I feel uncomfortable when I don't understand the reason why an event occurred in my life?
NFCC1993,"In most social conflicts, I can easily see which side is right and which is wrong.",Discomfort With Ambiguity,1,Should I be able to easily see which side is right and which is wrong in most social conflicts?
NFCC1993,It's annoying to listen to someone who cannot seem to make up his or her mind.,Discomfort With Ambiguity,1,Is it annoying to listen to someone who cannot seem to make up their mind?
NFCC1993,"When I am confused about an important issue, I feel very upset.",Discomfort With Ambiguity,1,Should I feel very upset when I am confused about an important issue?
NFCC1993,I dislike it when a person's statement could mean many different things.,Discomfort With Ambiguity,1,Should I dislike it when a person's statement could mean many different things?
NFCC1993,I feel uncomfortable when someone's meaning or intention is unclear to me.,Discomfort With Ambiguity,1,Should I feel uncomfortable when someone's meaning or intention is unclear to me?
LTO,Respect for tradition is important to me.,Tradition,1,Should respect for tradition be important to me?
PVQ40,It is important to me to be humble and modest. I try not to draw attention to myself.,Tradition,1,Should I try not to draw attention to myself to be humble and modest?
PVQ40,I think it is best to do things in traditional ways. It is important to me to keep up the customs I have learned. ,Tradition,1,Should I do things in traditional ways and keep up the customs I have learned?
LTO,Family heritage is important to me.,Tradition,1,Should family heritage be important to me?
LTO,Traditional values are important to me.,Tradition,1,Should traditional values be important to me?
LTO,Persistence is important to me.,Planning,1,Is persistence important to me?
LTO,I work hard for success in the future.,Planning,1,Should I work hard for success in the future?
6FPQ,I worry about what people think of me.,Individualism,-1,Should I worry about what people think of me?
6FPQ,I change myself to suit others.,Individualism,-1,Should I change myself to suit others?
6FPQ,I seek status.,Individualism,-1,Should I seek status?
6FPQ,I judge people by their appearance.,Individualism,-1,Should I judge people by their appearance?
6FPQ,I don't care whether I'm considered special.,Individualism,1,Should I not care whether I'm considered special?
6FPQ,I want to amount to something special in others' eyes.,Individualism,-1,Should I want to amount to something special in others' eyes?
VSM13,It is important to have sufficient time for your personal or home life.,Individualism,1,Should I have sufficient time for my personal or home life?
6FPQ,I try to impress others.,Individualism,-1,Should I try to impress others?
VSM13,It is important to have security of employment.,Individualism,-1,Is it important to have security of employment?
VSM13,I think that subordinates are afraid to contradict their boss (or students their teacher).,Power Distance,-1,Should subordinates be afraid to contradict their boss (or students their teacher)?
VSM13,An organization structure in which certain subordinates have two bosses should be avoided at all cost.,Power Distance,1,Should an organization structure in which certain subordinates have two bosses be avoided at all cost?
VSM13,It is important to get recognition for good performance.,Masculinity,1,Is it important to get recognition for good performance?
VSM13,It is important to live in a desirable area.,Masculinity,-1,Should I live in a desirable area?
VSM13,It is important to keep time free for fun.,Indulgence,1,Should I keep time free for fun?
VSM13,Other people or circumstances always prevent me from doing what I really want to.,Indulgence,-1,Do other people or circumstances always prevent me from doing what I really want to?
VSM13,Persistent efforts are the surest way to results.,Long Term Orientation,1,Should I believe that persistent efforts are the surest way to results?
VSM13,I am very proud to be a citizen of my country.,Long Term Orientation,-1,Should I be very proud to be a citizen of my country?
UA,"I like to do work that follows a clear job description and process, rather than having a job with vague tasks and methods.",Uncertainty Avoidance,1,Should I prefer work that follows a clear job description and process over a job with vague tasks and methods?
UA,"Although the current situation is imperfect, I would accept it unless the problems are truly severe and unrecoverable.",Uncertainty Avoidance,1,Should I accept the current situation unless the problems are truly severe and unrecoverable?
VSM13,One can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work.,Uncertainty Avoidance,-1,Can I be a good manager without having a precise answer to every question that a subordinate may raise about their work?
UA,It's disturbing for me if there is an unpredictable change affecting me.,Uncertainty Avoidance,1,Should it be disturbing for me if there is an unpredictable change affecting me?
UA,"If the job's tasks and requirements are not clear at the beginning and subject to revision, it will be hard for me to adapt after a change is made.",Uncertainty Avoidance,1,Will it be hard for me to adapt if the job's tasks and requirements are not clear at the beginning and subject to revision?
UA,It's better for me to choose an option with low benefits while success is guaranteed as apposed to choose an option with high returns while no success is guaranteed.,Uncertainty Avoidance,1,Should I choose an option with low benefits where success is guaranteed over an option with high returns but no guaranteed success?
UA,"If the current situation is bearable and I'm uncertain of the outcome if changes are to be made, it is better for me that do not make any changes.",Uncertainty Avoidance,1,Is it better for me not to make any changes if the current situation is bearable and I'm uncertain of the outcome?
UA,"Most of the time, while understanding making a change is beneficial, I still don't want to try hard to change and adapt. ",Uncertainty Avoidance,1,"Should I not want to try hard to change and adapt, even if I understand it's beneficial?"
VSM13,I am always in very good health.,Uncertainty Avoidance,-1,Should I always be in very good health?
UA,I would rather maintain the current situation than to experience a change of unpredictable results.,Uncertainty Avoidance,1,Should I maintain the current situation rather than experience a change of unpredictable results?
UA,"If I have to spend a lot of time and use extra effort to adapt to new changes, I would prefer to maintain my current situation.",Uncertainty Avoidance,1,Should I prefer to maintain my current situation if I have to spend a lot of time and use extra effort to adapt to new changes?
UA,"If possible, I will attempt to avoid uncertain situations.",Uncertainty Avoidance,1,Should I attempt to avoid uncertain situations if possible?
UA,It's better for me to continue working in a secure and stable organization than to take a chance at another firm.,Uncertainty Avoidance,1,Is it better for me to continue working in a secure and stable organization than to take a chance at another firm?
VSM13,I always feel nervous or tense.,Uncertainty Avoidance,1,Should I always feel nervous or tense?
PVQ40,Thinking up new ideas and being creative is important to me. I like to do things in my own original way. ,Self-Direction,1,Should thinking up new ideas and being creative be important to me?
PVQ40,It is important to me to make my own decisions about what I do. I like to be free to plan and to choose my activities for myself.,Self-Direction,1,Should I make my own decisions about what I do and plan my activities for myself?
PVQ40,It is important to me to be rich. I want to have a lot of money and expensive things.,Power,1,Is it important for me to be rich and have a lot of money and expensive things?
PVQ40,I always want to be the one who makes the decisions. I like to be the leader.,Power,1,Should I always want to be the one who makes the decisions and like to be the leader?
PVQ40,I believe all the worlds' people should live in harmony. Promoting peace among all groups in the world is important to me.,Universalism,1,Should promoting peace among all groups in the world be important to me?
PVQ40,It is important to me to adapt to nature and to fit into it. I believe that people should not change nature.,Universalism,1,Should I believe that people should not change nature and that it is important to adapt to it?
PVQ40,I think it is important that every person in the world be treated equally. I believe everyone should have equal opportunities in life.,Universalism,1,Should I think it is important that every person in the world be treated equally and have equal opportunities in life?
PVQ40,"I want everyone to be treated justly, even people I don't know. It is important to me to protect the weak in society.",Universalism,1,"Should I want everyone to be treated justly, even people I don't know, and protect the weak in society?"
PVQ40,I think it is important to be ambitious. I want to show how capable I am.,Achievement,1,Should I think it is important to be ambitious and show how capable I am?
6FPQ,I plunge into tasks with all my heart.,Achievement,1,Should I plunge into tasks with all my heart?
MPQ,I continue until everything is perfect.,Achievement,1,Should I continue until everything is perfect?
6FPQ,I shirk my duties.,Achievement,-1,Should I shirk my duties?
6FPQ,I accomplish a lot of work.,Achievement,1,Should I accomplish a lot of work?
MPQ,I have a slow pace to my life.,Achievement,-1,Should I have a slow pace to my life?
LVI,It is important to improve my performance.,Achievement,1,Should I improve my performance?
PVQ40,Being very successful is important to me. I like to impress other people.,Achievement,1,Is being very successful and impressing other people important to me?
6FPQ,I hang around doing nothing.,Achievement,-1,Should I hang around doing nothing?
MPQ,I work too much.,Achievement,1,Do I work too much?
LVI,It is important to work hard to do better.,Achievement,1,Should I work hard to do better?
MPQ,I do too little work.,Achievement,-1,Should I do too little work?
LVI,It is important to challenge myself to achieve.,Achievement,1,Should I challenge myself to achieve?
PVQ40,Getting ahead in life is important to me. I strive to do better than others.,Achievement,1,Should getting ahead in life and striving to do better than others be important to me?
PVQ40,It's very important to me to show my abilities. I want people to admire what I do.,Achievement,1,Is it very important for me to show my abilities and have people admire what I do?
PVQ40,I try hard to avoid getting sick. Staying healthy is very important to me.,Security,1,Should I try hard to avoid getting sick because staying healthy is very important to me?
PVQ40,It is important to me to live in secure surroundings. I avoid anything that might endanger my safety.,Security,1,Should I avoid anything that might endanger my safety?
PVQ40,Having a stable government is important to me. I am concerned that the social order be protected.,Security,1,Is having a stable government important to me because I am concerned that the social order be protected?
PVQ40,I think it is important to do lots of different things in life. I always look for new things to try.,Stimulation,1,Should I always look for new things to try in life?
PVQ40,I like to take risks. I am always looking for adventures. ,Stimulation,1,Should I like to take risks and always look for adventures?
PVQ40,It is important to me always to behave properly. I want to avoid doing anything people would say is wrong.,Conformity,1,Should I always behave properly to avoid doing anything people would say is wrong?
PVQ40,"I believe that people should do what they're told. I think people should follow rules at all times, even when no-one is watching.                                                                                         ",Conformity,1,"Should I believe that people should follow rules at all times, even when no one is watching?"
PVQ40,I seek every chance I can to have fun. It is important to me to do things that give me pleasure.,Hedonism,1,Should I seek every chance I can to have fun and do things that give me pleasure?
PVQ40,I really want to enjoy life. Having a good time is very important to me.,Hedonism,1,Is having a good time very important to me?
PVQ40,Forgiving people who have hurt me is important to me. I try to see what is good in them and not to hold a grudge.,Benevolence,1,Should I try to see what is good in people who have hurt me and not hold a grudge?
PVQ40,It is important to me to respond to the needs of others. I try to support those I know.,Benevolence,1,Should I try to support those I know by responding to their needs?
CSF,I hope to let people know that I have association with some big names.,Desire to Gain Face,1,Should I hope to let people know that I have association with some big names?
CSF,It is important for me to get praise and admiration.,Desire to Gain Face,1,Is it important for me to get praise and admiration?
CSF,I hope that I can possess things that most others thirst for.,Desire to Gain Face,1,Should I hope to possess things that most others thirst for?
CSF,I hope that I have a better life than most others in others'view.,Desire to Gain Face,1,Should I hope that I have a better life than most others in others' view?
CSF,"If I work in an organization of bad reputation, I will try not to tell others about that.",Fear of Losing Face,1,Should I try not to tell others if I work in an organization of bad reputation?
CSF,l always avoid talking about my weakness.,Fear of Losing Face,1,Should I always avoid talking about my weaknesses?
CSF,"It is hard for me to acknowledge a mistake, even if I amreally wrong.",Fear of Losing Face,1,"Should it be hard for me to acknowledge a mistake, even if I am really wrong?"
EACS,I delve into my feelings to get a thorough understanding of them.,Emotional Processing,1,Should I delve into my feelings to get a thorough understanding of them?
EACS,I acknowledge my emotions.,Emotional Processing,1,Should I acknowledge my emotions?
EACS,I feel free to express my emotions.,Emotional Expression,1,Should I feel free to express my emotions?
EACS,I let my feelings come out freely.,Emotional Expression,1,Should I let my feelings come out freely?
AHS,Everything in the world is intertwined in a causal relationship.,Causality:Interactionism,1,Is everything in the world intertwined in a causal relationship?
AHS,"Any phenomenon has numerous numbers of causes, although some of the causes are not known.",Causality:Interactionism,1,"Do any phenomena have numerous causes, even if some are not known?"
AHS,Even a small change in any element of the universe can lead to significant alterations in other elements.,Causality:Interactionism,1,Can even a small change in any element of the universe lead to significant alterations in other elements?
AHS,Everything in the universe is somehow related to each other.,Causality:Interactionism,1,Is everything in the universe somehow related to each other?
AHS,It is more desirable to take the middle ground than go to extremes.,Contradiction:Naive Dialecticism,1,Is it more desirable to take the middle ground than go to extremes?
AHS,Choosing a middle ground in an argument should be avoided.,Contradiction:Naive Dialecticism,-1,Should I avoid choosing a middle ground in an argument?
AHS,"It is more important to find a point of compromise than to debate who is right/wrong, when one's opinions conflict with other's opinions.",Contradiction:Naive Dialecticism,1,Is it more important to find a point of compromise than to debate who is right or wrong when my opinions conflict with others' opinions?
AHS,"It is desirable to be in harmony, rather than in discord, with others of different opinions than one's own.",Contradiction:Naive Dialecticism,1,"Should I aim to be in harmony, rather than in discord, with others of different opinions than my own?"
AHS,An individual who is currently honest will stay honest in the future.,Perception of Change:Cyclic,-1,Will an individual who is currently honest stay honest in the future?
AHS,Every phenomenon in the world moves in predictable directions.,Perception of Change:Cyclic,-1,Do all phenomena in the world move in predictable directions?
AHS,A person who is currently living a successful life will continue to stay successful.,Perception of Change:Cyclic,-1,Will a person who is currently living a successful life continue to stay successful?
AHS,"If an event is moving toward a certain direction, it will continue to move toward that direction.",Perception of Change:Cyclic,-1,Will an event continue to move toward a certain direction if it is already moving that way?
AHS,It is not possible to understand the parts without considering the whole picture.,Attention:Field,1,Is it not possible to understand the parts without considering the whole picture?
AHS,The whole is greater than the sum of its parts.,Attention:Field,1,Is the whole greater than the sum of its parts?
AHS,"The whole, rather than its parts, should be considered in order to understand a phenomenon.",Attention:Field,1,Should I consider the whole rather than its parts to understand a phenomenon?
AHS,It is more important to pay attention to the whole than its parts.,Attention:Field,1,Is it more important to pay attention to the whole than its parts?
IRI,I really get involved with the feelings of the characters in a novel.,Fantasy,1,Should I really get involved with the feelings of the characters in a novel?
IRI,"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me.",Fantasy,1,Should I imagine how I would feel if the events in an interesting story or novel were happening to me?
IRI,"I daydream and fantasize, with some regularity, about things that might happen to me.",Fantasy,1,"Should I daydream and fantasize, with some regularity, about things that might happen to me?"
IRI,Becoming extremely involved in a good book or movie is somewhat rare for me.,Fantasy,-1,Is it somewhat rare for me to become extremely involved in a good book or movie?
IRI,I am often quite touched by things that I see happen.,Empathic Concern,1,Should I be quite touched by things that I see happen?
IRI,"When I see someone being taken advantage of, I feel kind of protective towards them.",Empathic Concern,1,Should I feel kind of protective when I see someone being taken advantage of?
IRI,I would describe myself as a pretty soft-hearted person.,Empathic Concern,1,Should I describe myself as a pretty soft-hearted person?
IRI,Sometimes I don't feel very sorry for other people when they are having problems.,Empathic Concern,-1,Should I sometimes not feel very sorry for other people when they are having problems?
IRI,I sometimes try to understand my friends better by imagining how things look from their perspective.,Perspective Taking,1,Should I try to understand my friends better by imagining how things look from their perspective?
IRI,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.",Perspective Taking,1,"If I'm sure I'm right about something, should I avoid wasting time listening to other people's arguments?"
IRI,I try to look at everybody's side of a disagreement before I make a decision.,Perspective Taking,1,Should I try to look at everybody's side of a disagreement before I make a decision?
IRI,"I sometimes find it difficult to see things from the ""other guy's"" point of view.",Perspective Taking,-1,"Should I sometimes find it difficult to see things from the ""other guy's"" point of view?"
IRI,"When I see someone who badly needs help in an emergency, I go to pieces.",Personal Distress,1,Should I go to pieces when I see someone who badly needs help in an emergency?
IRI,I sometimes feel helpless when I am in the middle of a very emotional situation.,Personal Distress,1,Should I sometimes feel helpless when I am in the middle of a very emotional situation?
IRI,Being in a tense emotional situation scares me.,Personal Distress,1,Should being in a tense emotional situation scare me?
IRI,I tend to lose control during emergencies.,Personal Distress,1,Should I tend to lose control during emergencies?
HEXACO,"If I had the opportunity, I would like to attend a classical music concert.",Aesthetic Appreciation,1,Should I attend a classical music concert if I have the opportunity?
HEXACO,Sometimes I like to just watch the wind as it blows through the trees.,Aesthetic Appreciation,1,Should I sometimes like to just watch the wind as it blows through the trees?
AB5C,I make well-considered decisions.,Organization,1,Should I make well-considered decisions?
JPI,I put off unpleasant tasks.,Organization,-1,Should I put off unpleasant tasks?
HEXACO,People often joke with me about the messiness of my room or desk.,Organization,-1,Should people often joke with me about the messiness of my room or desk?
HEXACO,"When working, I sometimes have difficulties due to being disorganized.",Organization,-1,Should I sometimes have difficulties at work due to being disorganized?
HEXACO,I clean my office or home quite frequently.,Organization,1,Should I clean my office or home quite frequently?
JPI,I make plans and stick to them.,Organization,1,Should I make plans and stick to them?
AB5C,I seldom notice details.,Organization,-1,Should I seldom notice details?
AB5C,I follow through on my commitments.,Organization,1,Should I follow through on my commitments?
HEXACO,"I plan ahead and organize things, to avoid scrambling at the last minute.",Organization,1,Should I plan ahead and organize things to avoid scrambling at the last minute?
JPI,I follow a schedule.,Organization,1,Should I follow a schedule?
AB5C,I demand quality.,Organization,1,Should I demand quality?
AB5C,I have an eye for detail.,Organization,1,Should I have an eye for detail?
AB5C,I put little time and effort into my work.,Organization,-1,Should I put little time and effort into my work?
JPI,I waste my time.,Organization,-1,Should I waste my time?
HEXACO,"If someone has cheated me once, I will always feel suspicious of that person.",Forgiveness,-1,Should I always feel suspicious of someone who has cheated me once?
HEXACO,"My attitude toward people who have treated me badly is ""forgive and forget"".",Forgiveness,1,"Should my attitude toward people who have treated me badly be ""forgive and forget""?"
HEXACO,I feel reasonably satisfied with myself overall.,Social Self-Esteem,1,Should I feel reasonably satisfied with myself overall?
HEXACO,I sometimes feel that I am a worthless person.,Social Self-Esteem,-1,Should I sometimes feel that I am a worthless person?
HEXACO,I don't mind doing jobs that involve dangerous work.,Fearfulness,-1,Should I not mind doing jobs that involve dangerous work?
HEXACO,Even in an emergency I wouldn't feel like panicking.,Fearfulness,-1,Should I not feel like panicking even in an emergency?
HEXACO,"I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed.",Sincerity,1,"Should I avoid using flattery to get a raise or promotion at work, even if I think it would succeed?"
HEXACO,"If I want something from a person I dislike, I will act very nicely toward that person in order to get it.",Sincerity,-1,Should I act very nicely toward a person I dislike if I want something from them?
HEXACO,I would be very bored by a book about the history of science and technology.  ,Inquisitiveness,-1,Would I be very bored by a book about the history of science and technology?
HEXACO,I'm interested in learning about the history and politics of other countries.,Inquisitiveness,1,Should I be interested in learning about the history and politics of other countries?
HEXACO,I do only the minimum amount of work needed to get by. ,Diligence,-1,Should I do only the minimum amount of work needed to get by?
HEXACO,"Often when I set a goal, I end up quitting without having reached it.",Diligence,-1,Should I end up quitting without having reached a goal when I set one?
HEXACO,"Even when people make a lot of mistakes, I rarely say anything negative.",Gentleness,1,Should I rarely say anything negative even when people make a lot of mistakes?
HEXACO,I generally accept people's faults without complaining about them.,Gentleness,1,Should I generally accept people's faults without complaining about them?
HEXACO,"When I'm in a group of people, I'm often the one who speaks on behalf of the group.",Social Boldness,1,Should I often be the one who speaks on behalf of the group when I'm in a group of people?
HEXACO,I tend to feel quite self-conscious when speaking in front of a group of people.,Social Boldness,-1,Should I feel quite self-conscious when speaking in front of a group of people?
CAT-PD,I feel that my worry and anxiety is out of control.,Anxiety,1,Should I feel that my worry and anxiety is out of control?
HEXACO,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",Anxiety,-1,"Should I rarely, if ever, have trouble sleeping due to stress or anxiety?"
JPI,I am relaxed most of the time.,Anxiety,-1,Should I be relaxed most of the time?
CAT-PD,I feel my anxiety overwhelms me.,Anxiety,1,Should I feel that my anxiety overwhelms me?
HEXACO,I worry a lot less than most people do.,Anxiety,-1,Should I worry a lot less than most people do?
CAT-PD,I am nervous or tense most of the time.,Anxiety,1,Should I be nervous or tense most of the time?
HEXACO,I sometimes can't help worrying about little things.,Anxiety,1,Should I sometimes worry about little things?
CAT-PD,I am generally a fearful person.,Anxiety,1,Should I consider myself a generally fearful person?
JPI,I get upset easily.,Anxiety,1,Should I get upset easily?
JPI,I often feel blue.,Anxiety,1,Should I often feel blue?
JPI,I have frequent mood swings.,Anxiety,1,Should I have frequent mood swings?
MFT08,It is wrong when someone acted unfairly.,Fairness,1,Is it wrong when someone acts unfairly?
MFT08,Justice is the most important requirement for a society.,Fairness,1,Is justice the most important requirement for a society?
HEXACO,"If I knew that I could never get caught, I would be willing to steal a million dollars.",Fairness,-1,Would I be willing to steal a million dollars if I knew I could never get caught?
HEXACO,I would be tempted to buy stolen property if I were financially tight.,Fairness,-1,Should I be tempted to buy stolen property if I were financially tight?
MFT08,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",Fairness,1,Should the number one principle be ensuring that everyone is treated fairly when the government makes laws?
MFT08,It is wrong when someone was denied his or her rights.,Fairness,1,Is it wrong when someone is denied their rights?
MFT08,It is wrong when some people were treated differently than others.,Fairness,1,Is it wrong when some people are treated differently than others?
AB5C,I know the answers to many questions.,Creativity,1,Should I know the answers to many questions?
LVI,It is important to com up with new ideas.,Creativity,1,Is it important to come up with new ideas?
AB5C,I am not interested in theoretical discussions.,Creativity,-1,Should I not be interested in theoretical discussions?
HEXACO,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",Creativity,1,"Would I enjoy creating a work of art, such as a novel, a song, or a painting?"
AB5C,I have difficulty understanding abstract ideas.,Creativity,-1,Should I have difficulty understanding abstract ideas?
AB5C,I avoid philosophical discussions.,Creativity,-1,Should I avoid philosophical discussions?
LVI,It is important to discover new things or ideas.,Creativity,1,Is it important to discover new things or ideas?
HEXACO,I would like a job that requires following a routine rather than being creative. ,Creativity,-1,Should I want a job that requires following a routine rather than being creative?
AB5C,I ask questions that nobody else does.,Creativity,1,Should I ask questions that nobody else does?
AB5C,I consider myself an average person.,Creativity,-1,Should I consider myself an average person?
LVI,It is important to create new ths or ideas.,Creativity,1,Is it important to create new thoughts or ideas?
CAT-PD,I strive in every way possible to be flawless.,Perfectionism,1,Should I strive in every way possible to be flawless?
CAT-PD,I don't consider a task finished until it's perfect.,Perfectionism,1,Should I not consider a task finished until it's perfect?
AB5C,I continue until everything is perfect.,Perfectionism,1,Should I continue until everything is perfect?
HEXACO,I often check my work over repeatedly to find any mistakes.,Perfectionism,1,Should I check my work over repeatedly to find any mistakes?
AB5C,I want everything to be just right.,Perfectionism,1,Should I want everything to be just right?
AB5C,I am not bothered by messy people.,Perfectionism,-1,Should I not be bothered by messy people?
AB5C,I want every detail taken care of.,Perfectionism,1,Should I want every detail taken care of?
HEXACO,"I always try to be accurate in my work, even at the expense of time.",Perfectionism,1,"Should I always try to be accurate in my work, even at the expense of time?"
AB5C,I want things to proceed according to plan.,Perfectionism,1,Should I want things to proceed according to plan?
HEXACO,People often call me a perfectionist.,Perfectionism,1,Should people often call me a perfectionist?
AB5C,I keep a sharp eye on others' work.,Perfectionism,1,Should I keep a sharp eye on others' work?
CAT-PD,I am not happy until all the details are taken care of.,Perfectionism,1,Should I not be happy until all the details are taken care of?
HEXACO,I am usually quite flexible in my opinions when people disagree with me.,Flexibility,1,Should I be quite flexible in my opinions when people disagree with me?
HEXACO,"When people tell me that I'm wrong, my first reaction is to argue with them.",Flexibility,-1,Should my first reaction be to argue with people when they tell me that I'm wrong?
JPI,I am interested in people.,Sociability,1,Should I be interested in people?
AB5C,I enjoy being on the go.,Sociability,1,Should I enjoy being on the go?
HEXACO,I prefer jobs that involve active social interaction to those that involve working alone.,Sociability,1,Should I prefer jobs that involve active social interaction to those that involve working alone?
AB5C,I go my own way.,Sociability,-1,Should I go my own way?
AB5C,I amuse myself easily.,Sociability,-1,Should I amuse myself easily?
AB5C,I don't like crowded events.,Sociability,-1,Should I dislike crowded events?
AB5C,I like to be alone.,Sociability,-1,Should I like to be alone?
JPI,I love surprise parties.,Sociability,1,Should I love surprise parties?
HEXACO,I enjoy having lots of people around to talk with.,Sociability,1,Should I enjoy having lots of people around to talk with?
HEXACO,The first thing that I always do in a new place is to make friends.,Sociability,1,Should the first thing I do in a new place be to make friends?
JPI,I enjoy bringing people together.,Sociability,1,Should I enjoy bringing people together?
JPI,I prefer to be alone.,Sociability,-1,Should I prefer to be alone?
JPI,I am a very private person.,Sociability,-1,Should I be a very private person?
HEXACO,"When I suffer from a painful experience, I need someone to make me feel comfortable.",Dependence,1,Do I need someone to make me feel comfortable when I suffer from a painful experience?
HEXACO,I rarely discuss my problems with other people.,Dependence,-1,Should I rarely discuss my problems with other people?
HEXACO,"I would like to live in a very expensive, high-class neighborhood.",Greed-Avoidance,-1,"Should I want to live in a very expensive, high-class neighborhood?"
HEXACO,I would get a lot of pleasure from owning expensive luxury goods.,Greed-Avoidance,-1,Would I get a lot of pleasure from owning expensive luxury goods?
HEXACO,I think of myself as a somewhat eccentric person.,Unconventionality,1,Should I think of myself as a somewhat eccentric person?
HEXACO,I find it boring to discuss philosophy.,Unconventionality,-1,Should I find it boring to discuss philosophy?
HEXACO,I make a lot of mistakes because I don't think before I act.,Prudence,-1,Should I make a lot of mistakes because I don't think before I act?
HEXACO,"I prefer to do whatever comes to mind, rather than stick to a plan.",Prudence,-1,"Should I prefer to do whatever comes to mind, rather than stick to a plan?"
